,Name,Album,Artist
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina
1,Amelia,Amelia,cristian
2,Don't Fall Asleep,Don't Fall Asleep,Kyle Lucas
3,p.e.m.d.a.s.,all nighter,JPecs
4,Mistakes,Mistakes,dansotall
5,Please Take Me On,Please Take Me On,Skinny Atlas
6,Boys On Posters,Boys On Posters,Grace Grundy
7,You Say You Love Me But You Don't,Grown Up,Gorran
8,Let Me In,Let Me In,Kid Travis
9,Long Enough,Long Enough,Colours in the Street
10,Creep,Creep,ORYL
11,Wish I Could Stay,Wish I Could Stay,Grace Grundy
12,Death Bed,Death Bed,Binxx
13,missing us,missing us,Valera
14,alone,alone,CIAN
15,I Should Lose You,I Should Lose You,Jenny Kern
16,Six Feet Under,Six Feet Under,Billie Eilish
17,Glitch In The Matrix,Glitch In The Matrix,Darla Jade
18,Heaven - Acoustic,Heaven (Acoustic),Lukas Larsson
19,Wish I Had You Now,Wish I Had You Now,The Finley Ghost
20,ALLERGIC,ALLERGIC,clide
21,Dressed Light,Dressed Light,Tess Goodwin
